symbol,probability,prob_raw,verdict,price,rsi,adx,volume_ratio,return_24h,return_72h,scanned_at
EPIC,94.52,0.9452,STRONG BUY,0.393,39.11,50.8,0.405,-22.18,-39.16,2026-06-20T11:28:38.473992+00:00
UNI,77.43,0.7743,BUY,2.999,42.76,10.81,0.577,-1.9,-7.24,2026-06-20T11:27:36.467440+00:00
EDEN,77.4,0.774,BUY,0.0498,43.66,16.28,0.295,-10.27,11.41,2026-06-20T11:28:56.574585+00:00
STG,76.12,0.7612,BUY,0.2059,34.32,16.56,0.461,-6.87,-20.47,2026-06-20T11:28:03.203090+00:00
WLD,75.68,0.7568,BUY,0.6033,42.7,10.08,0.456,-0.18,-7.6,2026-06-20T11:28:10.556701+00:00
ROBO,75.16,0.7516,BUY,0.01963,47.08,12.26,0.251,1.6,-1.85,2026-06-20T11:29:05.864546+00:00
MITO,75.01,0.7501,BUY,0.0244,37.28,18.99,0.274,-9.83,13.33,2026-06-20T11:28:51.498269+00:00
HMSTR,73.88,0.7388,BUY,0.0001496,38.6,13.81,0.776,-5.26,-10.74,2026-06-20T11:28:26.722083+00:00
HOME,73.46,0.7346,BUY,0.02327,34.21,27.65,0.266,-9.81,-11.49,2026-06-20T11:28:47.647713+00:00
ZAMA,73.18,0.7318,BUY,0.03458,45.58,21.11,0.285,-1.9,-4.9,2026-06-20T11:29:04.967426+00:00
PIVX,73.14,0.7314,BUY,0.0437,49.57,14.74,0.19,1.16,-15.15,2026-06-20T11:28:13.052216+00:00
ENA,73.04,0.7304,BUY,0.0875,44.85,13.58,0.485,0.81,-0.23,2026-06-20T11:28:20.219911+00:00
TRUMP,72.26,0.7226,BUY,1.821,38.59,17.36,1.565,-1.03,-3.45,2026-06-20T11:28:35.107657+00:00
RENDER,72.04,0.7204,BUY,1.737,51.31,30.15,0.325,3.64,2.18,2026-06-20T11:28:24.561358+00:00
PUMP,71.94,0.7194,BUY,0.00137,44.24,18.95,0.472,0.0,-6.42,2026-06-20T11:28:53.603168+00:00
MMT,68.67,0.6867,WATCH,0.1397,43.0,11.79,0.415,-4.25,-0.36,2026-06-20T11:29:00.869117+00:00
ESP,67.89,0.6789,WATCH,0.06015,30.65,13.18,0.139,-4.57,-17.72,2026-06-20T11:29:05.298177+00:00
NEAR,67.72,0.6772,WATCH,2.13,43.58,10.39,0.51,1.38,-6.82,2026-06-20T11:27:37.411774+00:00
EIGEN,66.58,0.6658,WATCH,0.2697,63.46,47.23,0.818,25.15,29.54,2026-06-20T11:28:27.006186+00:00
MASK,65.21,0.6521,WATCH,0.398,64.28,35.43,0.297,10.56,1.27,2026-06-20T11:27:45.946621+00:00
SAHARA,64.97,0.6497,WATCH,0.01308,40.71,22.38,0.189,-1.65,-9.1,2026-06-20T11:28:48.524533+00:00
ENJ,64.79,0.6479,WATCH,0.03472,42.14,25.52,0.421,-6.44,6.57,2026-06-20T11:27:23.376043+00:00
KAITO,64.67,0.6467,WATCH,0.478,41.04,19.88,0.262,-5.96,0.19,2026-06-20T11:28:37.273775+00:00
FET,64.6,0.646,WATCH,0.1885,40.23,19.16,0.508,-1.67,-8.5,2026-06-20T11:27:21.765795+00:00
POND,64.12,0.6412,WATCH,0.00161,46.22,10.68,0.505,0.0,-5.85,2026-06-20T11:27:43.183820+00:00
1000CAT,63.62,0.6362,WATCH,0.00141,52.02,22.99,0.138,0.71,-7.24,2026-06-20T11:28:32.279222+00:00
BEL,63.56,0.6356,WATCH,0.1807,89.51,50.07,0.933,58.51,105.34,2026-06-20T11:27:36.182940+00:00
ZBT,62.87,0.6287,WATCH,0.1222,45.59,14.05,0.093,-5.34,-5.56,2026-06-20T11:28:59.346990+00:00
ONE,62.64,0.6264,WATCH,0.00143,58.78,15.17,0.227,1.42,-4.03,2026-06-20T11:27:23.994962+00:00
AT,62.08,0.6208,WATCH,0.1372,39.6,14.93,0.736,-7.05,-0.87,2026-06-20T11:29:02.294168+00:00
OPN,61.81,0.6181,WATCH,0.0747,46.73,15.37,1.118,0.54,-1.58,2026-06-20T11:29:06.158797+00:00
TIA,61.64,0.6164,WATCH,0.3765,43.01,10.16,0.402,0.05,-5.26,2026-06-20T11:28:12.088310+00:00
SPK,61.14,0.6114,WATCH,0.016789,29.38,40.58,0.572,-3.71,-17.29,2026-06-20T11:28:47.916749+00:00
RIF,60.3,0.603,WATCH,0.0946,47.13,54.31,0.444,7.5,15.93,2026-06-20T11:27:41.324396+00:00
